Campaign,Link Text,Description Line 1,Description Line 2,Final URL
DEWAX | Marka,Odwierty pod pompę ciepła,Ile metrów potrzebuje dom,Dzień wiercenia krok po kroku,https://pompy.dewax.pl/odwierty-pod-pompe-ciepla.html
DEWAX | Marka,Ile to kosztuje,Przykład dla domu 150 m²,Cena z odwiertem i montażem,https://pompy.dewax.pl/gruntowa-pompa-ciepla-cena.html
DEWAX | Marka,Dotacje 2026,Moje Ciepło do 21 000 zł,"Czyste Powietrze, ulga",https://pompy.dewax.pl/dotacje-pompa-ciepla.html
DEWAX | Marka,Gruntowa czy powietrzna,Liczby z podaniem źródeł,Kiedy gruntową odradzamy,https://pompy.dewax.pl/pompa-ciepla-czy-warto.html
DEWAX | Marka,Pompy Thermokrafft,Cztery modele na R290,"Modele, moce, COP, ceny",https://pompy.dewax.pl/pompy.html
DEWAX | Marka,Dolne źródło,"Odwiert, Helix, kolektor",Jak liczymy długość źródła,https://pompy.dewax.pl/dolne-zrodlo-pompy-ciepla.html
DEWAX | Marka,Zamów wycenę,Odpowiedź w 1 dzień roboczy,Oferta pozycja po pozycji,https://pompy.dewax.pl/#kontakt
DEWAX | Regiony,Policz koszt w 2 minuty,"Pompa, odwiert i montaż",Bez telefonu i logowania,https://pompy.dewax.pl/#kreator
DEWAX | Regiony,Odwierty pod pompę ciepła,Ile metrów potrzebuje dom,Dzień wiercenia krok po kroku,https://pompy.dewax.pl/odwierty-pod-pompe-ciepla.html
DEWAX | Regiony,Ile to kosztuje,Przykład dla domu 150 m²,Cena z odwiertem i montażem,https://pompy.dewax.pl/gruntowa-pompa-ciepla-cena.html
DEWAX | Regiony,Dotacje 2026,Moje Ciepło do 21 000 zł,"Czyste Powietrze, ulga",https://pompy.dewax.pl/dotacje-pompa-ciepla.html
DEWAX | Regiony,Gruntowa czy powietrzna,Liczby z podaniem źródeł,Kiedy gruntową odradzamy,https://pompy.dewax.pl/pompa-ciepla-czy-warto.html
DEWAX | Regiony,Pompy Thermokrafft,Cztery modele na R290,"Modele, moce, COP, ceny",https://pompy.dewax.pl/pompy.html
DEWAX | Regiony,Dolne źródło,"Odwiert, Helix, kolektor",Jak liczymy długość źródła,https://pompy.dewax.pl/dolne-zrodlo-pompy-ciepla.html
DEWAX | Regiony,Zamów wycenę,Odpowiedź w 1 dzień roboczy,Oferta pozycja po pozycji,https://pompy.dewax.pl/#kontakt
